year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2052,22070280963.405876,117940274730.74152,14146209880.426802,3475947590.0015426,12302273746.910107,34426796121.23851,13798923267.216389,36267180357.748085,32727778015.132275,3783776396.1199145,38910498584.69577,4447699421.926306,4325704395.507095
2053,23179855638.02516,123869675546.97278,14857405005.27348,3652270075.9645057,12926324436.365734,36173145316.289,14498893675.598377,37930076156.86148,34630259637.4191,4003729154.6949825,41172384754.82237,4673315429.816038,4545132028.63674
2054,24310084745.56294,129909450558.11588,15581838835.305225,3831975513.613359,13562348263.112646,37953000248.972916,15212293829.257475,39615109091.23259,36587908389.4197,4230059984.007274,43499859872.71246,4903260142.862608,4768769635.765858
2055,25460360569.57645,136056352218.55347,16319121847.41804,4014970494.905987,14210014632.03267,39765435778.86776,15938752914.085491,41321169982.786476,38600573814.27556,4462751489.196997,45892745058.169,5137414039.443734,4996500973.605997
2056,26630093274.495113,142307228535.37,17068875979.46626,4201164190.927361,14869002076.202648,41609552309.976006,16677910354.671991,43047205228.66097,40668105865.46792,4701786322.845218,48350861918.85342,5375660898.0968075,5228213008.508978
2057,27818710379.5107,148659020256.89975,17830734293.046196,4390468280.676226,15538998004.852175,43484475085.4077,17429415531.59949,44792214016.61838,42790354905.69866,4947147184.844476,50874032548.955124,5617887706.396853,5463795827.844228
2058,29025656247.947258,155108758143.99615,18604340646.20169,4582796881.818077,16219698458.280556,45389353501.53784,18192927506.544514,46555245679.9786,44967171705.77422,5198816822.269751,53462079527.86457,5863984572.350499,5703142553.823105
2059,30250391591.655354,161653560321.5889,19389349375.759693,4778066483.350156,16910807869.540873,47323360441.10087,18968114754.969013,48335397185.08298,47198407443.49261,5456778029.249781,56114825918.849976,6113844638.236481,5946149259.702654
2060,31492392989.988533,168290629708.16617,20185424989.01248,4976195880.1256485,17612038832.704273,49285691624.69931,19754654906.19255,50131810744.648384,49483913702.53337,5721013646.8387375,58832095267.737656,6367363996.825134,6192714888.303096
2061,32724501670.095596,174874833890.7455,20975159746.498795,5172980377.739424,18308509851.357285,51234702535.75473,20535856035.507915,51890943402.018,51793364595.26401,5988017589.846169,61577832715.95276,6619162470.081304,6437606833.378479
2062,33947008705.93405,181407728324.94495,21758740215.54419,5368457110.744147,19000352354.24574,53170760965.67956,21311865560.800304,53614663111.59729,54126694817.68226,6257782308.240961,64351960622.68246,6869287574.063313,6680871307.679003
2063,35160196607.17737,187890822700.13168,22536347474.094193,5562662188.355385,19687694141.183414,55094224550.64932,22082826829.540283,55304744234.19676,56483839243.88895,6530300272.583137,67154401558.863075,7117785512.844453,6922553247.956
2064,36364339571.20235,194325582286.0051,23308157272.228626,5755630722.762604,20370659483.25193,57005441052.003006,22848879231.173656,56962872226.52594,58864732925.6022,6805563973.9677,69985078306.60257,7364701214.73873,7162696350.194057
2065,37559703727.66227,200713429239.5587,24074340188.92367,5947396856.658459,21049369220.23401,58904748628.90114,23610158306.408066,58590648095.72096,61269311091.67309,7083565923.96863,72843913858.60463,7610078367.526371,7401343103.870322
2066,38746547375.86392,207055743873.58762,24835061784.201504,6137993790.007962,21723940855.35643,60792476103.455414,24366795853.482067,60189592630.67869,63697509147.602486,7364298654.583027,75730831417.59431,7853959452.7066965,7638534825.267869
2067,39925121215.16031,213353865887.8726,25590482746.803253,6327453806.078512,22394488647.417034,62668943218.537704,25118920031.49994,61761150421.38039,66149262675.05931,7647754718.175415,78645754395.74524,8096385778.805233,7874311689.869231
2068,41095668568.56447,219609095564.13873,26340759037.51695,6515808296.751205,23061123700.367954,64534460888.4706,25866655460.913296,63306693676.82774,68624507431.40007,7933926687.422192,81588606414.10838,8337397513.761165,8108712763.855508
2069,42258425599.78388,225822694925.85504,27086042028.28833,6703087787.133259,23723954050.42534,66389331442.79606,26610123321.228245,64827525851.681816,71123179349.18971,8222807155.256234,84559311302.0424,8577033716.420522,8341776034.735728
2070,43413621523.869125,231995888863.90906,27826478637.23858,6889321959.490855,24383084750.773838,68233848863.31324,27349441446.014725,66324885091.18963,73645214535.72375,8514388734.811653,87557793096.6455,8815332367.159798,8573538441.130505
2071,44553483585.81335,238087140940.11755,28557086824.317616,7073301957.087261,25034237346.08263,70056040281.23235,28079810878.75244,67784129058.89749,76181495909.72577,8807617367.456074,90573212376.49594,9050746655.715044,8802495599.914307
2072,45678462954.63148,244098862134.09872,29278155771.687984,7255090020.850098,25677632123.024643,71856522148.80708,28801478705.383312,69207167515.18356,78731984617.686,9102488561.195173,93605522948.12971,9283356223.372742,9028724967.90926
2073,46788997524.56932,250033392487.0935,29989966152.890575,7434746673.1476555,26313483285.848713,73635893897.1796,29514685189.45975,70595814532.14854,81296641912.05957,9398997836.285606,96654678744.06587,9513238512.411718,9252301863.245964
2074,47885512305.68773,255893003189.18887,30692790383.194237,7612330765.240728,26941999124.323856,75394738406.35722,30219663960.520424,71951793288.06352,83875429150.97743,9697140725.201593,99720633822.46289,9740468826.820835,9473299524.415764
2075,48968419802.95468,261679898605.12903,31386892862.57935,7787899523.4242325,27563382177.046345,77133622462.21257,30916642197.264656,73276740621.59265,86468307797.95822,9996912772.601604,102803342366.77608,9965120391.34018,9691789167.69251
2076,50038120384.18326,267396218240.52087,32072530211.57206,7961508593.894798,28177829390.23766,78853097200.86513,31605840805.669174,74572211357.82706,89075239421.62076,10298309535.29512,105902758685.41583,10187264408.87203,9907840042.968824
