year,process_index,process_name,gwp_contribution,coef_gwp,s
2034,522,Plastic Incineration CO2 to the atmosphere,140900036203.5651,1.0,140900036203.5651
2034,541,Steam Cracker CO2 to the atmosphere,137473224028.672,1.0,137473224028.672
2035,543,"Forest residue, processed and loaded, at landing system",2182057426602.986,4208.968797465055,518430411.7239307
2035,358,"Electricity, coal (life cycle)",227270959329.53918,1000.9430000000001,227056844.72496352
2035,227,"Heat, Natural Gas",202089531954.65137,0.0602,3356968969346.3687
2035,522,Plastic Incineration CO2 to the atmosphere,147142442870.8116,1.0,147142442870.8116
2035,541,Steam Cracker CO2 to the atmosphere,143563809903.36002,1.0,143563809903.36002
2036,543,"Forest residue, processed and loaded, at landing system",2123310719679.3252,3928.9687974650556,540424429.1910058
2036,358,"Electricity, coal (life cycle)",230749061030.5785,1000.9430000000001,230531669.66608337
2036,227,"Heat, Natural Gas",210663027249.69724,0.0602,3499385834712.5786
2036,522,Plastic Incineration CO2 to the atmosphere,153384849538.05817,1.0,153384849538.05817
2036,541,Steam Cracker CO2 to the atmosphere,149654395778.048,1.0,149654395778.048
2037,543,"Forest residue, processed and loaded, at landing system",2070587373249.404,3648.9687974650556,567444526.9819365
2037,358,"Electricity, coal (life cycle)",233785211150.26303,1000.9430000000001,233564959.3935549
2037,227,"Heat, Natural Gas",219012404635.98633,0.0602,3638079811229.009
2037,522,Plastic Incineration CO2 to the atmosphere,159627256205.30472,1.0,159627256205.30472
2037,541,Steam Cracker CO2 to the atmosphere,155744981652.73602,1.0,155744981652.73602
2038,543,"Forest residue, processed and loaded, at landing system",1986462237202.058,3368.968797465055,589635095.0761998
2038,358,"Electricity, coal (life cycle)",236260574168.2552,1000.9430000000001,236037990.34336138
2038,227,"Heat, Natural Gas",227577135543.539,0.0602,3780351088763.1064
2038,522,Plastic Incineration CO2 to the atmosphere,165869662872.55127,1.0,165869662872.55127
2038,541,Steam Cracker CO2 to the atmosphere,161835567527.424,1.0,161835567527.424
2039,543,"Forest residue, processed and loaded, at landing system",1889910383021.937,3088.9687974650556,611825663.1704668
2039,358,"Electricity, coal (life cycle)",238234915834.0069,1000.9430000000001,238010471.9589496
2039,227,"Heat, Natural Gas",236141866451.09143,0.0602,3922622366297.2
2039,522,Plastic Incineration CO2 to the atmosphere,172112069539.79782,1.0,172112069539.79782
2039,541,Steam Cracker CO2 to the atmosphere,167926153402.112,1.0,167926153402.112
