year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2041,10901220064.812666,61046651533.93563,7336823489.060835,1788355813.686315,6329424584.707436,17712315224.706047,7100798378.445616,18705361633.26667,15484955528.021675,1794444196.174116,18385952690.617702,2286376984.6709127,2223702423.591804
2042,11699682479.604841,65518027811.90827,7874210842.508428,1920423111.4323525,6796842754.398508,19020342179.214127,7625181304.093794,19957821486.564693,16770550084.158417,1943422841.0089674,19912394316.211803,2455222371.972114,2387919391.9532223
2043,12525524856.118568,70142731421.34386,8430025669.678587,2057091405.3833542,7280544964.58699,20373938530.207134,8167832823.799941,21247058349.456097,18112994201.02375,2098989387.5087519,21506335866.629505,2629950040.500061,2557857395.4317102
2044,13377941592.330988,74916251004.27766,9003725778.063595,2198233655.579192,7780081590.069263,21771846042.71712,8728248516.052427,22571229515.00397,19512132833.27891,2261125868.5435166,23167593249.881767,2810397572.217612,2733358468.221433
2045,14256150789.489021,79834207940.66257,9594784928.113789,2343726329.8112674,8295015420.4243765,23212841223.408836,9305937887.125229,23928584604.84551,20967811358.439014,2429814365.984915,24895982876.052113,2996407033.677493,2914269006.174071
2046,15159393554.686838,84892352442.81442,10202692363.852861,2493449306.7685676,8824921317.224478,24695734361.314484,9900423986.512232,25317460943.081665,22479875575.719803,2605037010.5725627,26691321655.927334,3187824852.1964817,3100439646.3673363
2047,16086933323.963642,90086559764.77083,10826952357.303886,2647285781.8580008,9369385880.710155,26219368595.055187,10511243032.979929,26736279161.95745,24048171704.887554,2786775981.7807636,28553426999.631927,3384501695.4485903,3291725149.998772
2048,17038055205.317957,95412826523.18214,11467083766.319708,2805122175.6251593,9928007125.669325,27782619005.817745,11137944050.945322,28183539027.71899,25672546385.112103,2975013507.685594,30482116815.26625,3586292354.3828564,3487984288.5130186
2049,18012065341.052456,100867267126.45303,12122619605.42333,2966848044.7037168,10500394166.265568,29384391735.375576,11780088516.893953,29657815475.615417,27352846673.823017,3169731864.8323526,32477209507.5484,3793055629.373933,3689079732.8732643
2050,19008290288.880558,106446110308.94965,12793106629.275484,3132355995.223635,11086166909.5688,31023623128.46235,12437250015.560816,31157754843.56649,29088920045.56888,3370913378.1033688,34538523976.45979,4004654219.516224,3894877945.890068
2051,20026076421.242733,112145695767.18098,13478104928.397842,3301541598.6102967,11684955757.54798,32699278898.825882,13109013905.604609,32682071294.541718,30880614390.87967,3578540420.5861754,36665879615.89443,4220954614.974761,4105249077.5231333
2052,21064789342.29678,117962470894.95404,14177187536.7913,3474303309.7085342,12296401317.292227,34410353318.30845,13794976994.513174,34229543418.19569,32727778015.132282,3792595413.442039,38859096312.31186,4441826992.308425,4320066863.073947
2053,22123813322.062004,123892987614.59064,14889940051.099314,3650542387.1673775,12920154119.233139,36155868428.31773,14494747222.485275,35799011002.778046,34630259637.419106,4013060825.774848,41117994443.39381,4667145112.683441,4539208524.189465
2054,23202550747.21263,129933899301.37961,15615960260.976631,3830162816.0230827,13555874343.147379,37934873273.07017,15207943355.040817,37389371968.786354,36587908389.41971,4239919174.5003595,43442394876.70447,4896786222.897339,4762554672.599219
2055,24300421588.03052,136081957798.52089,16354857790.333687,4013071232.4197598,14203231551.72472,39746443154.0055,15934194684.118551,38999579456.25797,38600573814.275566,4473153024.215801,45832118968.35444,5130630959.135784,4989989216.5103855
2056,25416862881.041782,142334010519.8991,17106253749.136692,4199176850.408562,14861904431.492657,41589678904.788025,16673140737.42688,40628639058.00269,40668105865.467926,4712744987.069832,48286988561.66835,5368563253.386816,5221399269.587406
2057,26551328226.875793,148686997638.10242,17869780395.45282,4388391390.768059,15531580540.89444,43463706186.326035,17424430995.819897,42275606191.4639,42790354905.69867,4958677722.632856,50806825985.85605,5610470242.439119,5456675062.444824
2058,27703287302.898727,155137949355.1784,18645080807.439056,4580629011.789971,16211956065.32304,45367674801.25679,18187724618.47707,43939583602.26225,44967171705.77423,5210933937.767686,53391454054.68747,5856242179.392984,5695709856.583912
2059,28872225390.186913,161683983253.69263,19431808564.982147,4775806241.976019,16902735578.91896,47300758027.359505,18962690175.671097,45619718992.82395,47198407443.492615,5469496386.500566,56040696065.1711,6105772347.614569,5938399860.705641
2060,30057642914.41806,168322301725.72717,20229627440.705658,4973841914.593093,17603631812.94515,49262151969.37375,19749005388.91443,47315202769.82628,49483913702.53338,5734347869.892541,58754375796.236015,6358956977.06601,6184644149.334359
2061,31233618419.04822,174907745044.62006,21021091575.328556,5170533324.246531,18299770374.59695,51210232000.82579,20529983107.12498,48975500236.56703,51793364595.264015,6001974130.963183,61496486019.16896,6610422993.320972,6429216935.688583
2062,32400429717.106052,181441868958.72342,21806387944.725296,5365917587.922675,18991282629.883343,53145365737.464836,21305770706.02878,50602374398.21492,54126694817.68227,6272367602.084183,64266949195.72362,6860217849.700915,6672164372.291125
2063,33558346447.51318,187926183441.5255,22585698023.369556,5560030797.755803,19678296317.613483,55067910644.6535,22076511492.1013,52197499924.81055,56483839243.888954,6545520736.26636,67065687999.123085,7108387689.274523,6913531337.328892
2064,34707630315.59135,194362154038.48703,23359197946.20223,5752908049.325729,20360935649.548813,56978214317.63426,22842344814.92517,53762467577.285675,58864732925.60221,6821426007.103377,69892625313.48315,7354977381.035612,7153361469.839089
2065,35848535326.49316,200751203174.2491,24127058665.736786,5944583469.174072,21039321407.789772,58876614754.05727,23603406176.445553,55298788411.71742,61269311091.673096,7100075908.715601,72747684233.2371,7600030555.082135,7391697203.9238825
2066,36981308011.764534,207094711421.37946,24889446104.54209,6135090241.56076,21713571039.47356,60763440618.98338,24359827337.208794,56807897772.92889,63697509147.60249,7381462955.694124,75630788062.56218,7843589636.82383,7628579802.020345
2067,38106187649.241035,213394018731.7881,25646521303.238728,6324460634.481746,22383798748.857147,62639011502.57003,25111736419.667713,58291159087.99097,66149262675.05932,7665579683.044931,78541860314.80748,8085695880.24535,7864049387.251773
2068,39223406476.474144,219650425631.91095,26398440564.14081,6512726024.968348,23050115586.857742,64503638170.64201,25859258008.634453,59749867469.65133,68624507431.40008,7952418646.133226,81480824711.92352,8326389400.250957,8098144974.885737
2069,40333189897.87792,225865194382.7278,27145355590.671417,6699916923.688028,23712629538.120937,66357622808.34375,26602513248.959705,61185253139.214005,71123179349.18971,8241972420.627901,84447605183.89331,8565709204.116124,8330904502.923537
2070,41435756685.78076,232039550105.64862,27887413622.67601,6886062998.865916,24371445605.68476,68201259257.06386,27341619940.514885,62598484677.91617,73645214535.72375,8534233602.446167,87442125868.165,8803693222.070728,8562364861.845031
2071,42523688201.19476,238131948545.4013,28619621710.332497,7069955965.609145,25022287376.517925,70022580366.4512,28071780499.20498,63975742415.013054,76181495909.72577,8828145676.21393,90453561662.61143,9038796686.150343,8791023629.132229
2072,43597415058.49558,244144801135.34647,29342269669.060364,7251658035.402565,25665375032.14059,71822202294.33177,28793241940.309246,65318828812.81733,78731984617.686,9123704139.46717,93481866434.79198,9271099132.488695,9016958160.66061
2073,44657355202.06993,250080448357.11688,30055638787.025093,7431229701.984651,26300922674.55226,73600724185.54956,29506244458.668556,66629456021.51887,81296641912.05957,9420904502.021406,96526994178.08258,9500677901.11527,9240243676.401407
2074,45703914279.10533,255941161828.2338,30760002076.036003,7608729788.776889,26929138494.095856,75358728641.71886,30211021617.00723,67909250404.26103,83875429150.97743,9719742285.938196,99588899011.33269,9727608196.59284,9460953319.396921
2075,46737486001.411224,261729146328.2992,31455624515.061886,7784215495.003574,27550224932.686848,77096782178.00603,30907800529.055096,69159756835.48871,86468307797.95822,10020213025.491743,102667535178.52303,9951963146.98069,9679158213.107433
2076,47758452496.59421,267446541765.57132,32142763286.58171,7957742440.538171,28164378842.535416,78815435667.29889,31596802037.61329,70382442783.92815,89075239421.62076,10322312267.13559,105762857048.42433,10173813861.169794,9894927517.17471
2077,48767184648.90066,273095425085.67767,32821668005.98112,8129364709.511405,28771791640.486034,80515224772.11203,32278240887.70336,71578702190.98973,91696185695.3975,10626035569.469397,108874819114.25705,10393229484.634886,10108328481.64578
2078,49764042430.030685,278677812124.16766,33492580944.19943,8299134892.715278,29372649458.095566,82196670364.56645,32952325894.935555,72749859154.84386,94331108397.24863,10931378503.205818,112003375993.35184,10610277253.647135,10319426499.699528
2079,50749375220.21852,284195659404.5575,34155737243.825626,8467104128.836241,29967133287.567455,83860278934.77318,33619260109.228153,73897171429.90675,96979969409.37694,11238336651.13747,115148482426.81119,10825022547.989935,10528285158.917421
2080,51723522119.865814,289650865883.4714,34811365128.836205,8633322144.54987,30555419123.656483,85506542987.9407,34279240974.006332,75021833750.98503,99642730717.94362,11546905608.103981,118310093279.17175,11037528942.219137,10734966291.138601
2081,52681724935.76109,295016785757.85376,35456262203.21386,8797012537.550676,31134759090.463257,87127772844.93988,34929185726.774155,76115027857.2764,102313318837.56734,11856381559.969538,121480997240.41809,11246803821.582952,10938504491.338417
2082,53624452791.50115,300296046112.06506,36090744200.15211,8958245099.04786,31705400195.98915,88724659735.04832,35569371478.66427,77178330459.29434,104991712422.25076,12166762033.094421,124661168965.53087,11452936412.740429,11138986540.279316
2083,54552161007.63508,305491196733.62714,36715117563.01047,9117087693.217417,32267582627.99809,90297875801.73355,36200067689.382164,78213239266.69193,107677890184.21332,12478044560.58525,127850583178.61403,11656013478.677376,11336496822.585144
2084,55465291507.79199,310604712387.5326,37329679718.64972,9273606310.410236,32821539942.33286,91848074629.63895,36821536378.47284,79221176946.58894,110371830893.73242,12790226682.276583,131049214672.70624,11856119386.73184,11531117392.901896
2085,56364273212.85934,315638995023.6361,37934719342.7248,9427865118.89104,33367499246.03177,93375891757.01895,37434032330.75406,80203494883.5675,113073513378.98515,13103305944.712566,134257038309.59293,12053336174.741306,11722928040.231676
2086,57249522423.56321,320596375919.09827,38530516617.17202,9579926515.148739,33905681375.389183,94881945174.0252,38037803296.07731,81161476751.27373,115782916525.8903,13417279901.128633,137474029019.61874,12247743615.36347,11912006350.490301
