year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large,A_total_kg
2035,612141321.8812103,3360331840.6166615,404510615.0304724,99781584.19649893,351982743.70178187,984785131.9649893,389007638.2448489,1187180054.951761,716757451.2141695,84121622.22775549,811418301.8191949,120545462.30660215,118346183.75939968,9240909951.915346
2036,638110953.7185949,3502891373.2488837,421671671.42570454,104014742.31392616,366915344.9497363,1026563895.1392616,405510992.5946304,1237545269.40426,747165343.0838616,87690418.32226633,845842108.5630397,125659512.22263983,123366930.94919239,9632948555.935997
2037,664080585.5559797,3645450905.8811054,438832727.8209367,108247900.43135338,381847946.19769067,1068342658.3135338,422014346.9444119,1287910483.8567588,777573234.9535537,91259214.41677716,880265915.3068843,130773562.13867748,128387678.1389851,10024987159.956648
2038,690050217.3933643,3788010438.5133276,455993784.2161689,112481058.54878062,396780547.44564503,1110121421.487806,438517701.2941933,1338275698.3092575,807981126.8232456,94828010.511288,914689722.0507288,135887612.05471516,133408425.32877782,10417025763.977299
2039,716019849.230749,3930569971.14555,473154840.611401,116714216.66620785,411713148.69359946,1151900184.6620784,455021055.6439748,1388640912.7617567,838389018.6929377,98396806.60579884,949113528.7945735,141001661.97075284,138429172.51857054,10809064367.99795
2040,741989481.0681336,4073129503.7777715,490315897.00663316,120947374.78363506,426645749.94155383,1193678947.8363507,471524409.99375623,1439006127.2142556,868796910.5626297,101965602.70030968,983537335.538418,146115711.88679048,143449919.70836323,11201102972.0186
2041,779088955.1215403,4276785978.96666,514831691.8569648,126994743.52281682,447978037.4386315,1253362895.2281682,495100630.493444,1510956433.5749683,912236756.0907612,107063882.83532517,1032714202.3153391,153421497.48113,150622415.6937814,11761158120.61953
2042,816188429.1749471,4480442454.155549,539347486.7072965,133042112.26199856,469310324.9357092,1313046842.6199858,518676850.9931319,1582906739.9356813,955676601.6188927,112162162.97034065,1081891069.09226,160727283.07546952,157794911.67919958,12321213269.220463
2043,853287903.2283537,4684098929.344438,563863281.5576282,139089481.00118032,490642612.4327869,1372730790.0118032,542253071.4928197,1654857046.296394,999116447.1470242,117260443.10535613,1131067935.869181,168033068.66980904,164967407.66461772,12881268417.82139
2044,890387377.2817605,4887755404.533326,588379076.4079598,145136849.74036208,511974899.9298646,1432414737.4036207,565829291.9925075,1726807352.6571069,1042556292.6751556,122358723.24037161,1180244802.6461017,175338854.26414856,172139903.6500359,13441323566.422321
2045,927486851.3351672,5091411879.722215,612894871.2582915,151184218.47954383,533307187.4269422,1492098684.7954383,589405512.4921952,1798757659.0178196,1085996138.2032871,127457003.3753871,1229421669.4230227,182644639.8584881,179312399.63545406,14001378715.02325
2046,964586325.3885738,5295068354.911103,637410666.108623,157231587.2187256,554639474.9240199,1551782632.1872559,612981732.9918832,1870707965.3785324,1129435983.7314186,132555283.51040259,1278598536.1999435,189950425.45282763,186484895.6208722,14561433863.624182
2047,1001685799.4419806,5498724830.099992,661926460.9589547,163278955.95790735,575971762.4210976,1611466579.5790734,636557953.491571,1942658271.7392452,1172875829.25955,137653563.64541808,1327775402.9768643,197256211.04716715,193657391.60629037,15121489012.225111
2048,1038785273.4953872,5702381305.28888,686442255.8092864,169326324.6970891,597304049.9181753,1671150526.970891,660134173.9912587,2014608578.099958,1216315674.7876816,142751843.78043357,1376952269.7537854,204561996.64150667,200829887.59170854,15681544160.826042
2049,1075884747.5487938,5906037780.477769,710958050.6596181,175373693.43627083,618636337.415253,1730834474.3627086,683710394.4909467,2086558884.4606707,1259755520.315813,147850123.91544905,1426129136.5307064,211867782.2358462,208002383.57712668,16241599309.426973
2050,1112984221.6022005,6109694255.666657,735473845.5099498,181421062.1754526,639968624.9123307,1790518421.7545261,707286614.9906344,2158509190.8213835,1303195365.8439445,152948404.0504645,1475306003.3076272,219173567.8301857,215174879.56254485,16801654458.0279
2051,1150083695.6556072,6313350730.855546,759989640.3602815,187468430.91463435,661300912.4094083,1850202369.1463435,730862835.4903222,2230459497.1820965,1346635211.372076,158046684.18548,1524482870.084548,226479353.42452526,222347375.54796302,17361709606.628834
2052,1187183169.709014,6517007206.044435,784505435.2106131,193515799.6538161,682633199.906486,1909886316.538161,754439055.99001,2302409803.542809,1390075056.9002075,163144964.3204955,1573659736.861469,233785139.01886478,229519871.53338116,17921764755.229763
2053,1224282643.7624207,6720663681.233323,809021230.0609448,199563168.39299786,703965487.4035637,1969570263.9299786,778015276.4896978,2374360109.903522,1433514902.428339,168243244.45551097,1622836603.6383898,241090924.6132043,236692367.51879936,18481819903.830692
2054,1261382117.8158274,6924320156.422212,833537024.9112765,205610537.13217962,725297774.9006414,2029254211.3217962,801591496.9893856,2446310416.2642345,1476954747.9564705,173341524.59052646,1672013470.4153109,248396710.20754382,243864863.5042175,19041875052.43162
2055,1298481591.869234,7127976631.6111,858052819.7616081,211657905.87136137,746630062.3977191,2088938158.7136135,825167717.4890735,2518260722.6249475,1520394593.484602,178439804.72554195,1721190337.1922317,255702495.80188334,251037359.48963565,19601930201.032547
2056,1335581065.9226408,7331633106.799989,882568614.6119397,217705274.61054313,767962349.8947968,2148622106.105431,848743937.9887613,2590211028.98566,1563834439.0127335,183538084.86055744,1770367203.9691527,263008281.39622286,258209855.47505385,20161985349.633484
2057,1372680539.9760475,7535289581.988877,907084409.4622713,223752643.34972486,789294637.3918746,2208306053.4972486,872320158.4884491,2662161335.346373,1607274284.540865,188636364.99557292,1819544070.7460735,270314066.9905624,265382351.460472,20722040498.234413
2058,1409780014.029454,7738946057.177766,931600204.312603,229800012.08890662,810626924.8889523,2267990000.889066,895896378.9881368,2734111641.7070856,1650714130.0689964,193734645.13058838,1868720937.5229945,277619852.5849019,272554847.4458902,21282095646.835342
2059,1446879488.0828607,7942602532.366654,956115999.1629347,235847380.82808837,831959212.38603,2327673948.280884,919472599.4878247,2806061948.0677986,1694153975.597128,198832925.26560387,1917897804.2999153,284925638.1792414,279727343.4313083,21842150795.436268
2060,1483978962.1362672,8146259007.555543,980631794.0132663,241894749.56727013,853291499.8831077,2387357895.6727014,943048819.9875125,2878012254.428511,1737593821.1252594,203931205.40061936,1967074671.076836,292231423.77358097,286899839.41672647,22402205944.0372
2061,1502528699.1629708,8248087245.149987,992889691.4384322,244918433.936861,863957643.6316464,2417199869.36861,954836930.2373563,2913987407.6088676,1759313743.8893251,206480345.4681271,1991663104.4652967,295884316.5707507,290486087.4094356,22682233518.33767
