year,process_index,process_name,gwp_contribution,abs_contribution,coef_gwp,s
2056,541,Steam Cracker CO2 to the atmosphere,313230130698.24,313230130698.24,1.0,313230130698.24
2056,358,"Electricity, coal (life cycle)",232562169513.92072,232562169513.92072,1000.9430000000001,232343069.9989117
2057,543,"Forest residue, processed and loaded, at landing system",-589073835829.5275,589073835829.5275,-551.0312025349443,1069038982.0387179
2057,227,"Heat, Natural Gas",457339809931.3387,457339809931.3387,0.0602,7597006809490.676
2057,522,Plastic Incineration CO2 to the atmosphere,329955780983.03217,329955780983.03217,1.0,329955780983.03217
2057,541,Steam Cracker CO2 to the atmosphere,321930967662.0801,321930967662.0801,1.0,321930967662.0801
2057,358,"Electricity, coal (life cycle)",228937716535.70648,228937716535.70648,1000.9430000000001,228722031.65985122
2058,543,"Forest residue, processed and loaded, at landing system",-692829304511.2949,692829304511.2949,-631.0312025349443,1097931927.4991453
2058,227,"Heat, Natural Gas",469700345334.8854,469700345334.8854,0.0602,7802331317855.239
2058,522,Plastic Incineration CO2 to the atmosphere,338873504793.3844,338873504793.3844,1.0,338873504793.3844
2058,541,Steam Cracker CO2 to the atmosphere,330631804625.92004,330631804625.92004,1.0,330631804625.92004
2058,358,"Electricity, coal (life cycle)",224828675117.29077,224828675117.29077,1000.9430000000001,224616861.41697454
2059,543,"Forest residue, processed and loaded, at landing system",-793421370861.6116,793421370861.6116,-711.0312025349443,1115874195.1589925
2059,227,"Heat, Natural Gas",482549182327.3429,482549182327.3429,0.0602,8015767148294.733
2059,522,Plastic Incineration CO2 to the atmosphere,347791228603.7366,347791228603.7366,1.0,347791228603.7366
2059,541,Steam Cracker CO2 to the atmosphere,339332641589.76,339332641589.76,1.0,339332641589.76
2059,358,"Electricity, coal (life cycle)",220122002300.60815,220122002300.60815,1000.9430000000001,219914622.8112971
2060,543,"Forest residue, processed and loaded, at landing system",-905324416896.814,905324416896.814,-791.0312025349443,1144486354.0093043
2060,227,"Heat, Natural Gas",494922238284.4572,494922238284.4572,0.0602,8221299639276.698
2060,522,Plastic Incineration CO2 to the atmosphere,356708952414.0888,356708952414.0888,1.0,356708952414.0888
2060,541,Steam Cracker CO2 to the atmosphere,348033478553.60004,348033478553.60004,1.0,348033478553.60004
2060,358,"Electricity, coal (life cycle)",214932084256.1061,214932084256.1061,1000.9430000000001,214729594.24872953
2061,543,"Forest residue, processed and loaded, at landing system",-999439123881.2915,999439123881.2915,-871.0312025349443,1147420575.7183487
2061,227,"Heat, Natural Gas",501615848682.2635,501615848682.2635,0.0602,8332489180768.497
2061,522,Plastic Incineration CO2 to the atmosphere,361167814319.2649,361167814319.2649,1.0,361167814319.2649
2061,541,Steam Cracker CO2 to the atmosphere,352383897035.52,352383897035.52,1.0,352383897035.52
2061,358,"Electricity, coal (life cycle)",208112828615.08783,208112828615.08783,1000.9430000000001,207916763.10747746
2062,543,"Forest residue, processed and loaded, at landing system",-1093756269511.5975,1093756269511.5975,-951.0312025349443,1150074010.8171256
2062,227,"Heat, Natural Gas",508321979633.63165,508321979633.63165,0.0602,8443886704877.603
2062,522,Plastic Incineration CO2 to the atmosphere,365626676224.44104,365626676224.44104,1.0,365626676224.44104
2062,541,Steam Cracker CO2 to the atmosphere,356734315517.44,356734315517.44,1.0,356734315517.44
2062,358,"Electricity, coal (life cycle)",201065400232.25638,201065400232.25638,1000.9430000000001,200875974.18859652
2063,543,"Forest residue, processed and loaded, at landing system",-1188208465001.1692,1188208465001.1692,-1031.0312025349442,1152446659.3055391
2063,227,"Heat, Natural Gas",515040631138.55804,515040631138.55804,0.0602,8555492211603.955
2063,522,Plastic Incineration CO2 to the atmosphere,370085538129.6171,370085538129.6171,1.0,370085538129.6171
2063,541,Steam Cracker CO2 to the atmosphere,361084733999.36,361084733999.36,1.0,361084733999.36
2063,358,"Electricity, coal (life cycle)",193786602301.72757,193786602301.72757,1000.9430000000001,193604033.6979504
2064,543,"Forest residue, processed and loaded, at landing system",-1282728321563.8164,1282728321563.8164,-1111.0312025349442,1154538521.1838567
2064,227,"Heat, Natural Gas",521771803197.05273,521771803197.05273,0.0602,8667305700947.721
2064,522,Plastic Incineration CO2 to the atmosphere,374544400034.7933,374544400034.7933,1.0,374544400034.7933
2064,541,Steam Cracker CO2 to the atmosphere,365435152481.28,365435152481.28,1.0,365435152481.28
2064,358,"Electricity, coal (life cycle)",186280026561.14957,186280026561.14957,1000.9430000000001,186104529.98936957
2065,543,"Forest residue, processed and loaded, at landing system",-1391461539011.4966,1391461539011.4966,-1191.0312025349442,1168283027.3883374
2065,227,"Heat, Natural Gas",527983372282.72894,527983372282.72894,0.0602,8770487911673.239
