Provider name,Input parameters names,Circularity,Upstream Chemicals,Electricity Source,Carbon Capture,Microplastic Treatment,Carbon Capture / Electricity Source,Circularity / Electricity Source,All
"generated waste, PET Non-food Bottles","Low-tech Sorting, Collected PET Non-food Bottles",1,0,0,0,0,0,0,1
"generated waste, PET Non-food Bottles","High-tech Sorting, Collected PET Non-food Bottles",1,0,0,0,0,0,0,1
"generated waste, PET Non-food Bottles","Disposal, PET Non-food Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, PET Other Food Rigid","Low-tech Sorting, Collected PET Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PET Other Food Rigid","High-tech Sorting, Collected PET Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PET Other Food Rigid","Disposal, PET Other Food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, PET Other Non-Food Rigid","Low-tech Sorting, Collected PET Other Non-Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PET Other Non-Food Rigid","High-tech Sorting, Collected PET Other Non-Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PET Other Non-Food Rigid","Disposal, PET Other Non-food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Food Bottles","Low-tech Sorting, Collected PP Food Bottles",1,0,0,0,0,0,0,1
"generated waste, PP Food Bottles","High-tech Sorting, Collected PP Food Bottles",1,0,0,0,0,0,0,1
"generated waste, PP Food Bottles","Disposal, PP Food Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Food Packaging Film (med-large format)","Low-tech Sorting, Collected PP Food Packaging Film (med-large format)",1,0,0,0,0,0,0,1
"generated waste, PP Food Packaging Film (med-large format)","High-tech Sorting, Collected PP Food Packaging Film (med-large format)",1,0,0,0,0,0,0,1
"generated waste, PP Food Packaging Film (med-large format)","Disposal, PP Food Packaging Film (med-large format) (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Food Packaging Film (small format)","Low-tech Sorting, Collected PP Food Packaging Film (small format)",1,0,0,0,0,0,0,1
"generated waste, PP Food Packaging Film (small format)","High-tech Sorting, Collected PP Food Packaging Film (small format)",1,0,0,0,0,0,0,1
"generated waste, PP Food Packaging Film (small format)","Disposal, PP Food Packaging Film (small format) (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Non-food Bottles","Low-tech Sorting, Collected PP Non-food Bottles",1,0,0,0,0,0,0,1
"generated waste, PP Non-food Bottles","High-tech Sorting, Collected PP Non-food Bottles",1,0,0,0,0,0,0,1
"generated waste, PP Non-food Bottles","Disposal, PP Non-food Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Non-food Packaging Film","Low-tech Sorting, Collected PP Non-food Packaging Film",1,0,0,0,0,0,0,1
"generated waste, PP Non-food Packaging Film","High-tech Sorting, Collected PP Non-food Packaging Film",1,0,0,0,0,0,0,1
"generated waste, PP Non-food Packaging Film","Disposal, PP Non-food Packaging Films (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Other Food Rigid","Low-tech Sorting, Collected PP Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PP Other Food Rigid","High-tech Sorting, Collected PP Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PP Other Food Rigid","Disposal, PP Other Food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, PP Other Non-food Rigid","Low-tech Sorting, Collected PP Other Non-food Rigid",1,0,0,0,0,0,0,1
"generated waste, PP Other Non-food Rigid","High-tech Sorting, Collected PP Other Non-food Rigid",1,0,0,0,0,0,0,1
"generated waste, PP Other Non-food Rigid","Disposal, PP Other Non-food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, PS Other Food Rigid","Low-tech Sorting, Collected PS Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PS Other Food Rigid","High-tech Sorting, Collected PS Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PS Other Food Rigid","Disposal, PS Other Food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, PVC Other Food Rigid","Low-tech Sorting, Collected PVC Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PVC Other Food Rigid","High-tech Sorting, Collected PVC Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, PVC Other Food Rigid","Disposal, PVC Other Food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, PVC Other Non-food Rigid","Low-tech Sorting, Collected PVC Other Non-food Rigid",1,0,0,0,0,0,0,1
"generated waste, PVC Other Non-food Rigid","High-tech Sorting, Collected PVC Other Non-food Rigid",1,0,0,0,0,0,0,1
"generated waste, PVC Other Non-food Rigid","Disposal, PVC Other Non-food Rigid (copy)",1,0,0,0,0,0,0,1
