Flow name,Process,Type of flow,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Other Food Rigid","Flakes, HDPE Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Other Food Rigid","Pyrolysis, HDPE Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Other Food Rigid","Mechanical Recycling, HDPE Other Food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Other Non-food Rigid","Flakes, HDPE Other Non-food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Other Non-food Rigid","Pyrolysis, HDPE Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Other Non-food Rigid","Mechanical Recycling, HDPE Other Non-food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Food Packaging Film (med-large format)","Flakes, LDPE Food Packaging Film (med-large format)",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Food Packaging Film (med-large format)","Pyrolysis, LDPE Food Packaging Film (med-large format)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Food Packaging Film (med-large format)","Mechanical Recycling, LDPE Food Packaging Film (med-large format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Food Packaging Film (small format)","Flakes, LDPE Food Packaging Film (small format)",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Food Packaging Film (small format)","Pyrolysis, LDPE Food Packaging Film (small format)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Food Packaging Film (small format)","Mechanical Recycling, LDPE Food Packaging Film (small format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Non-food Packaging Films","Flakes, LDPE Non-food Packaging Films",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Non-food Packaging Films","Pyrolysis, LDPE Non-food Packaging Films",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, LDPE Non-food Packaging Films","Mechanical Recycling, LDPE Non-food Packaging Films (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Bottles","Flakes, Multi-material Food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Bottles","STRAP, Multi-material Food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Bottles","Delamination, Multi-material Food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Packaging Film (med-large format)","Flakes, Multi-material Food Packaging Film (med-large format)",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Packaging Film (med-large format)","Delamination, Multi-material Food Packaging Film (med-large format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Packaging Film (med-large format)","STRAP, Multi-material Food Packaging Film (med-large format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Packaging Film (small format)","Flakes, Multi-material Food Packaging Film (small format)",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Packaging Film (small format)","STRAP, Multi-material Food Packaging Film (small format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Food Packaging Film (small format)","Delamination, Multi-material Food Packaging Film (small format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Non-food Packaging Film","Flakes, Multi-material Non-food Packaging Film",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Non-food Packaging Film","Delamination, Multi-material Non-food Packaging Film (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, Multi-material Non-food Packaging Film","STRAP, Multi-material Non-food Packaging Film (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Drinking Bottles","Flakes, PET Drinking Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Drinking Bottles","Mechanical Recycling, PET Drinking Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Drinking Bottles","Depolymerization, Enzymatic Hydrolysis, PET Drinking Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Food Bottles","Flakes, PET Food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Food Bottles","Mechanical Recycling, PET Food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Food Bottles","Depolymerization, Enzymatic Hydrolysis, PET Food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Non-food Bottles","Flakes, PET Non-food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Non-food Bottles","Depolymerization, Enzymatic Hydrolysis, PET Non-food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Non-food Bottles","Mechanical Recycling, PET Non-food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Other Food Rigid","Flakes, PET Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Other Food Rigid","Depolymerization, Enzymatic Hydrolysis, PET Other Food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Other Food Rigid","Mechanical Recycling, PET Other Food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
