index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
1272,false,dae8a18a-3a1d-46a4-90bd-d5e7fcc83ca0,"Waste, solvents, combusted in industrial boiler",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1273,true,9ab9dc1f-c24b-34c1-8532-498c278451ee,"Slag, at blast furnace",Technosphere flows/CUTOFF Flows,kg,product,,,
1274,false,d6a91d9b-ff6e-3ee7-85d9-5d871937e7b9,Volatile organic compounds,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1275,false,4ef93178-f74c-3bb3-af35-313d9712ce0a,Particulate matter,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1276,false,396d55c9-4676-3a15-a9a4-b9f91ad2d504,Nitrate compounds,Elementary flows/emission/water,kg,elementary,,,
1277,true,1df283c4-4624-3757-9f4e-aaba69ead26f,"Chains, at plant",Technosphere flows/CUTOFF Flows,kg,product,,,
1278,true,d0abd58d-6344-3c1d-86eb-7fe98ca69a4a,"Explosives, at plant",Technosphere flows/CUTOFF Flows,kg,product,,,
1279,true,7dbbc8ce-f278-3771-92b2-084f2f5ce82b,"Petroleum coke, combusted in industrial boiler",Technosphere flows/CUTOFF Flows,kg,product,,,
1280,true,2a933594-27c4-388e-aac7-e4a6401578a6,"Foundry sand, at mine",Technosphere flows/CUTOFF Flows,kg,product,,,
1281,true,93c9a0ce-c8d8-37a3-a81d-860f37198ae8,Recycled cement kiln dust,Technosphere flows/CUTOFF Flows,kg,product,,,
1282,false,924da6d4-2818-4a68-b20f-894d6e263d19,"Waste, miscellaneous, combusted in industrial boiler",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1283,true,ef4c9027-8b70-3574-9c1a-2bcbef04e79b,"Bottom ash, unspecified origin",Technosphere flows/CUTOFF Flows,kg,product,,,
1284,true,4066c63c-8ae1-3458-9ba0-8138d4923e36,"Raw material, unspecified",Elementary flows/resource/non-FEDEFL/ground,kg,elementary,,,
1285,false,897a3e0c-8216-4b7f-a9f1-5247e2796efc,"Waste, other solid, combusted in industrial boiler",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1286,true,22f3302c-fc6f-3f5b-9880-580498a20cfa,"Grinding media, at plant",Technosphere flows/CUTOFF Flows,kg,product,,,
