Process,f_VOC_of_total_cost,TRL,k values,lambda values,L_r,L_TRL_normal
"Depolymerization, Enzymatic Hydrolysis, PET Other Food Rigid (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Pyrolysis, Feedstock Recycling, PP, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Reclaiming, Sorted PP Non-food Packaging Films",0.7,10,0,0,0,0
"STRAP, Multi-material Non-food Packaging Film (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Reclaiming, sorted mixed plastics, Multi-material Food Bottles",0.7,10,0,0,0,0
Ethylene dichloride-vinyl chloride,0.75,10,0,0,0,0
"Polyethylene, low-density, LDPE, virgin resin, non-food grade",0.75,10,0,0,0,0
"Reclaiming, sorted mixed plastics, Multi-material Food Packaging Film (small format)",0.7,10,0,0,0,0
"Mechanical Recycling, PET Food Bottles (Flakes)",0.6,10,0,0,0,0
"Depolymerization, Enzymatic Hydrolysis, PET Other Non-food Rigid (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Disposal, PP Other Food Rigid",1,10,0,0,0,0
"Reclaiming, Sorted PP Other Food Rigid",0.7,10,0,0,0,0
"Reclaiming, sorted mixed plastics, Multi-material Food Packaging Film (med-large format)",0.7,10,0,0,0,0
"Muconic acid, fermentation of glucose",0.6,6,0.15,0.05,0.2,0.444444444
"Open Burning, HDPE",1,10,0,0,0,0
"Incineration, HDPE",1,10,0,0,0,0
Acetylene Production,0.75,10,0,0,0,0
"Mechanical Recycling, PET Non-food Bottles (Flakes)",0.6,10,0,0,0,0
"Reclaiming, sorted mixed plastics, Multi-material Non-food Packaging Film",0.7,10,0,0,0,0
"Mechanical Recycling, HDPE Drinking Bottles (Flakes)",0.6,10,0,0,0,0
"Reclaiming, Sorted PP Other Non-food Rigid",0.7,10,0,0,0,0
"Mechanical Recycling, PP Food Bottles (Flakes)",0.6,10,0,0,0,0
"Disposal, PP Other Non-food Rigid",0.85,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PET Drinking Bottles",0.7,10,0,0,0,0
"Mechanical Recycling, PET Other Food Rigid (Flakes)",0.6,10,0,0,0,0
"Mechanical Recycling, PP Food Packaging Film (med-large format) (Flakes)",0.6,10,0,0,0,0
"Disposal, HDPE Microplastics Filtered",1,10,0,0,0,0
"Xylenes, mixed, produced from naphtha, at plant, kg",0.75,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PET Food Bottles",0.7,10,0,0,0,0
Styrene,0.75,10,0,0,0,0
"Mechanical Recycling, PET Other Non-food Rigid (Flakes)",0.6,10,0,0,0,0
"Mechanical Recycling, PP Food Packaging Film (small format) (Flakes)",0.6,10,0,0,0,0
"Purified terephthalic acid, PTA, fossil",0.75,10,0,0,0,0
"PTA Production, from cyclohexa",0.65,7,0.15,0.05,0.15,0.333333333
"Paraxylene, at plant, kg",0.75,10,0,0,0,0
"Disposal, LDPE Microplastics Filtered",1,10,0,0,0,0
Styrene; at plant,1,10,0,0,0,0
"Pyrolysis, PP Food Bottles",0.6,6,0.15,0.05,0.2,0.444444444
"Reclaiming, sorted mixed plastics, PET Non-food Bottles",0.7,10,0,0,0,0
"Mechanical Recycling, PP Non-food Bottles (Flakes)",0.6,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, PS, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Pyrolysis, PP Food Packaging Film (med-large format)",0.6,6,0.15,0.05,0.2,0.444444444
"Reclaiming, sorted mixed plastics, PET Other Food Rigid",0.7,10,0,0,0,0
"Open Burning, PS",1,10,0,0,0,0
"Incineration, PS",1,10,0,0,0,0
"Mechanical Recycling, PP Non-food Packaging Films (Flakes)",0.6,10,0,0,0,0
"Pyrolysis, HDPE Drinking Bottles",0.6,6,0.15,0.05,0.2,0.444444444
"Mechanical Recycling, PP Other Non-food Rigid (Flakes)",0.6,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, PVC, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Pyrolysis, PP Food Packaging Film (small format)",0.6,6,0.15,0.05,0.2,0.444444444
"Mechanical Recycling, PP Other Food Rigid (Flakes)",0.6,10,0,0,0,0
"Low-tech Sorting, Collected PVC Other Food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PS Other Food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PVC Other Non-food Rigid",0.8,10,0,0,0,0
"Depolymerization, Chemical Recycling with Metal Oxide, PS Other Food Rigid (Flakes)",0.5,6,0.15,0.05,0.3,0.444444444
PET Food Bottles,0.8,10,0,0,0,0
"High-tech Sorting, Collected HDPE Other Food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected Multi-material Non-food Packaging Film",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected PET Food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected PVC Other Food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected PP Food Packaging Film (med-large format)",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected LDPE Non-food Packaging Film",0.5,5,0.15,0.05,0.3,0.555555556
HDPE Non-food Bottles,0.8,10,0,0,0,0
PVC Other Food Rigid,0.8,10,0,0,0,0
"High-tech Sorting, Collected PP Non-food Packaging Film",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected LDPE Food Packaging Film (small format)",0.5,5,0.15,0.05,0.3,0.555555556
"Low-tech Sorting, Collected PP Non-food Packaging Film",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PP Non-food Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PP Other Non-food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PP Other Food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PP Food Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PET Other Non-Food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PP Food Packaging Film (small format)",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PP Food Packaging Film (med-large format)",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PET Food Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PET Drinking Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PET Other Food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected PET Non-food Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)",0.8,10,0,0,0,0
"Low-tech Sorting, Collected Multi-material Food Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected Multi-material Non-food Packaging Film",0.8,10,0,0,0,0
"Low-tech Sorting, Collected Multi-material Food Packaging Film (small format)",0.8,10,0,0,0,0
"Low-tech Sorting, Collected LDPE Food Packaging Film (med-large format)",0.8,10,0,0,0,0
"Low-tech Sorting, Collected HDPE Other Non-food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected LDPE Non-food Packaging Film",0.8,10,0,0,0,0
"Low-tech Sorting, Collected LDPE Food Packaging Film (small format)",0.8,10,0,0,0,0
"Low-tech Sorting, Collected HDPE Food Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected HDPE Drinking Bottles",0.8,10,0,0,0,0
"Low-tech Sorting, Collected HDPE Other Food Rigid",0.8,10,0,0,0,0
"Low-tech Sorting, Collected HDPE Non-food Bottles",0.8,10,0,0,0,0
Multi-material Non-food Packaging Film,0.8,10,0,0,0,0
PVC Other Non-food Rigid,0.8,10,0,0,0,0
"High-tech Sorting, Collected Multi-material Food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected PP Other Food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
PET Non-food Bottles,0.8,10,0,0,0,0
PP Food Packaging Film (med-large format),0.8,10,0,0,0,0
Multi-material Food Bottles,0.8,10,0,0,0,0
"High-tech Sorting, Collected PET Other Food Rigid",0.8,10,0,0,0,0
PP Other Non-food Rigid,0.8,10,0,0,0,0
LDPE Food Packaging Film (med-large format),0.8,10,0,0,0,0
"High-tech Sorting, Collected PET Other Non-Food Rigid",0.8,10,0,0,0,0
PET Other Food Rigid,0.8,10,0,0,0,0
PET Drinking Bottles,0.8,10,0,0,0,0
PP Non-food Bottles,0.8,10,0,0,0,0
"High-tech Sorting, Collected HDPE Other Non-food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected HDPE Food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
HDPE Other Non-food Rigid,0.8,10,0,0,0,0
"High-tech Sorting, Collected PP Non-food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
HDPE Other Food Rigid,0.8,10,0,0,0,0
"High-tech Sorting, Collected PP Other Non-food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
HDPE Food Bottles,0.8,10,0,0,0,0
"High-tech Sorting, Collected HDPE Drinking Bottles",0.5,5,0.15,0.05,0.3,0.555555556
LDPE Non-food Packaging Films,0.8,10,0,0,0,0
"High-tech Sorting, Collected PS Other Food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected PET Non-food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected LDPE Food Packaging Film (med-large format)",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected HDPE Non-food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
"Pyrolysis, PP Non-food Bottles",0.6,6,0.15,0.05,0.2,0.444444444
PET Other Non-food Rigid,0.8,10,0.15,0.05,0,0
PP Food Bottles,0.8,10,0,0,0,0
"Open Burning, PVC",1,10,0,0,0,0
"Incineration, PVC",1,10,0,0,0,0
"High-tech Sorting, Collected PP Food Packaging Film (small format)",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)",0.5,5,0.15,0.05,0.3,0.555555556
"High-tech Sorting, Collected PVC Other Non-food Rigid",0.5,5,0.15,0.05,0.3,0.555555556
HDPE Drinking Bottles,0.8,10,0,0,0,0
"Disposal, PET Microplastics Filtered",1,10,0,0,0,0
PS Other Food Rigid,0.8,10,0,0,0,0
"High-tech Sorting, Collected Multi-material Food Packaging Film (small format)",0.5,5,0.15,0.05,0.3,0.555555556
PP Other Food Rigid,0.8,10,0,0,0,0
"High-tech Sorting, Collected PP Food Bottles",0.5,5,0.15,0.05,0.3,0.555555556
LDPE Food Packaging Film (small format),0.8,10,0,0,0,0
PP Food Packaging Film (small format),0.8,10,0,0,0,0
Multi-material Food Packaging Film (small format),0.8,10,0,0,0,0
Multi-material Food Packaging Film (med-large format),0.8,10,0,0,0,0
PP Non-food Packaging Films,0.8,10,0,0,0,0
"High-tech Sorting, Collected PET Drinking Bottles",0.5,5,0.15,0.05,0.3,0.555555556
"Mechanical Recycling, PVC Other Food Rigid (Flakes)",0.6,10,0,0,0,0
"Cyclohexa-2,5-diene-1,4-dicarboxylate Production, Diels-Alder process",0.6,6,0.15,0.05,0.2,0.444444444
"Ethanol production, switchgrass, biochemical",0.6,8,0,0,0,0.222222222
"Ethanol production, wheat straw, biochemical",0.6,8,0,0,0,0.222222222
"Ethanol production, corn stover, biochemical",0.6,8,0,0,0,0.222222222
"Ethanol production, forest residues, thermochem",0.6,8,0,0,0,0.222222222
"Ethanol production, corn dry mill",0.6,8,0,0,0,0.222222222
"Pyrolysis, PP Non-food Packaging Films",0.6,8,0,0,0,0.222222222
"Reclaiming, Sorted HDPE Drinking Bottles",0.7,10,0,0,0,0
"Open Burning, LDPE",1,10,0,0,0,0
"Incineration, LDPE",1,10,0,0,0,0
"Mechanical Recycling, PVC Other Non-food Rigid (Flakes)",0.6,10,0,0,0,0
"Reclaiming, Sorted HDPE Food Bottles",0.7,10,0,0,0,0
"Disposal, PP Microplastics Filtered",1,10,0,0,0,0
"Pyrolysis, PP Other Food Rigid",0.6,6,0.15,0.05,0.2,0.444444444
"Pyrolysis, PP Other Non-food Rigid",0.6,6,0.15,0.05,0.2,0.444444444
"Reclaiming, Sorted HDPE Non-food Bottles",0.7,10,0,0,0,0
"Mechanical Recycling, PS Other Food Rigid (Flakes)",0.6,10,0,0,0,0
"Styrene production, fossil",0.75,10,0,0,0,0
"Styrene production, corn stover",0.5,6,0.15,0.05,0.3,0.444444444
"Ethylene oxide production, dehydration of bio-ethanol",0.5,6,0.15,0.05,0.3,0.444444444
"Incineration, multi-material food bottles",1,10,0,0,0,0
"Open Burning, multi-material food bottles",1,10,0,0,0,0
"Ethylene glycol, fossil",0.75,10,0,0,0,0
"Ethylene glycol, hydration of bio-ethanol",0.55,6,0.15,0.05,0.25,0.444444444
"Disposal, PS Microplastics Filtered",1,10,0,0,0,0
"Propylene production, fossil, steam cracker",0.75,10,0,0,0,0
"Propylene production, ethanol dehydration and metathesis",0.55,10,0,0,0,0
"Disposal, PVC Microplastics Filtered",1,10,0,0,0,0
"Benzene, at plant",0.75,10,0,0,0,0
